cityid,city_name,adm1id,adm1_name,countryid,country_name,regionid,region_name,year,population,scope,sector,sector_code,subsector,subsector_code,activity_amount_mj,co2e_total_ton,notation
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Transport,transportation,Aviation,transportation_aviation,243684200.33564,17058.771286616,
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Transport,transportation,Off-road,transportation_off_road,490813309.0847147,36329.212352091,
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Waste,waste,Solid waste disposal,waste_solid_waste_disposal,,982134.46298869,
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Waste,waste,Biological treatment,waste_biological_treatment,,8329.6605163898,
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Waste,waste,Incineration and open burning,waste_incineration_open_burning,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Waste,waste,Wastewater,waste_wastewater,,15338.52072588,
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,IPPU,industry,Industrial process,industry_industrial_processes,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,IPPU,industry,Produce use,industry_product_use,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,AFOLU,agriculture,Livestock,agriculture_live_stock,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,AFOLU,agriculture,Land use,agriculture_land,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,AFOLU,agriculture,Other AFOLU,agriculture_aggregate_sources,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Electricity-only generation,energy_generation_electricity_only,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,CHP Generation,energy_generation_chp_generation,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Heat/cold generation,energy_generation_heat_cold_generation,,,NE
4140963,Washington D.C.,4138106,District of Columbia,6252001,United States,53,North America,2015,681170,Total emissions,Generation of grid-supplied energy,grid_supplied_energy,Local renewable generation,energy_generation_local_renewable_generation,,,NE
